de	zh	fr	hi	it	ja	pt	ru	es
schüler - student	学生 - 学生	élève - étudiant	शिष्य - छात्र	allievo - studente	生徒 - 学生	aluno - estudante	ученик - студент	alumno - estudiante
professor - professor	教授-教授	professeur - professeur	प्रोफेसर - प्रोफेसर	professore - professore	教授 - 教授	professor - professor	профессор - профессор	profesor - profesor
doktor - doctor	医生-医生	docteur - docteur	डॉक्टर - डॉक्टर	dottore - dottore	医者 - 医者	médico - médico	врач - доктор	doctor - doctor
arzt - physician	医生 - 医生	docteur - médecin	डॉक्टर - चिकित्सक	dottore - medico	医師 - 医師	médico - médico	врач - врач	medico - medico
krankenschwester - nurse	护士 - 护士	infirmière - infirmière	नर्स - नर्स	infermiera - infermiera	看護師 - 看護師	enfermeira - enfermeira	медсестра - медсестра	enfermera - enfermera
polizist - police officer	警察 - 警察	policier - officier de police	पुलिसकर्मी - पुलिस अधिकारी	poliziotto - agente di polizia	警察官 - 警察官	policial - policial	полицейский – полицейский	policía - oficial de policía
soldat - soldier	士兵-士兵	soldat - soldat	सैनिक - सैनिक	soldato - soldato	兵士 - 兵士	soldado - soldado	солдат - солдат	soldado - soldado
künstler - artist	艺术家-艺术家	artiste - artiste	कलाकार - कलाकार	artista - artista	アーティスト - アーティスト	artista - artista	художник - художник	artista - artista
musiker - musician	音乐家 - 音乐家	musicien - musicien	संगीतकार - संगीतकार	musicista - musicista	ミュージシャン - ミュージシャン	músico - músico	музыкант - музыкант	músico - músico
sänger - singer	歌手 - 歌手	chanteur - chanteur	गायक - गायक	cantante - cantante	歌手 - 歌手	cantor - cantor	певец - певец	cantante - cantante
schauspieler - actor	演员 - 演员	acteur - acteur	अभिनेता - अभिनेता	attore - attore	俳優 - 俳優	ator - ator	актер - актер	actor - actor
schriftsteller - writer	作家 - 作家	écrivain - écrivain	लेखक - लेखक	scrittore - scrittore	ライター - ライター	escritor - escritor	писатель - писатель	escritor - escritor
dichter - poet	诗人-诗人	poète - poète	कवि - कवि	poeta - poeta	詩人 - 詩人	poeta - poeta	поэт - поэт	poeta - poeta
maler - painter	画家 - 画家	peintre - peintre	चित्रकार - चित्रकार	pittore - pittore	画家 - 画家	pintor - pintor	художник - художник	pintor - pintor
koch - cook, chef	科赫——厨师，厨师	koch - cuisinier, chef	कोच - रसोइया, रसोइया	koch: cuoco, chef	コッホ - 料理人、シェフ	koch - cozinheiro, chef	кох – повар, шеф-повар	koch - cocinero, chef
bäcker - baker	面包师 - 面包师	boulanger - boulanger	नानबाई - नानबाई	fornaio - fornaio	パン屋 - パン屋	padeiro - padeiro	пекарь - пекарь	panadero - panadero
verkäufer - salesperson	卖家 - 销售员	vendeur - vendeur	विक्रेता - विक्रेता	venditore - venditore	販売者 - 販売員	vendedor - vendedor	продавец - продавец	vendedor - vendedor
händler - dealer, merchant	经销商 - 经销商、商人	revendeur - revendeur, commerçant	व्यापारी - व्यापारी, व्यापारी	commerciante - commerciante, commerciante	ディーラー - ディーラー、商人	revendedor - revendedor, comerciante	дилер – дилер, торговец	comerciante - comerciante, comerciante
bauer - farmer	农民 - 农民	agriculteur - agriculteur	किसान - किसान	contadino - contadino	農家 - 農家	agricultor - agricultor	фермер - фермер	granjero - granjero
fischer - fisherman	渔夫-渔夫	pêcheur - pêcheur	मछुआरा - मछुआरा	pescatore - pescatore	漁師 - 漁師	pescador - pescador	рыбак - рыбак	pescador - pescador
handwerker - craftsman	工匠——工匠	artisan - artisan	शिल्पकार - शिल्पकार	artigiano - artigiano	職人 - 職人	artesão - artesão	ремесленник - ремесленник	artesano - artesano
mechaniker - mechanic	机械师 - 机械师	mécanicien - mécanicien	मैकेनिक - मैकेनिक	meccanico - meccanico	メカニック - メカニック	mecânico - mecânico	механик - механик	mecanico - mecanico
elektriker - electrician	电工 - 电工	électricien - électricien	इलेक्ट्रीशियन - इलेक्ट्रीशियन	elettricista - elettricista	電気技師 - 電気技師	eletricista - eletricista	электрик - электрик	electricista - electricista
klempner - plumber	水管工 - 水管工	plombier - plombier	प्लम्बर - प्लम्बर	idraulico - idraulico	配管工 - 配管工	encanador - encanador	сантехник - водопроводчик	fontanero - fontanero
gärtner - gardener	园丁 - 园丁	jardinier - jardinier	माली - माली	giardiniere - giardiniere	庭師 - 庭師	jardineiro - jardineiro	садовник - садовник	jardinero - jardinero
fahrer - driver	司机-司机	chauffeur - chauffeur	ड्राइवर - ड्राइवर	autista - autista	ドライバー - ドライバー	motorista - motorista	водитель - водитель	conductor - conductor
pilot - pilot	飞行员 - 飞行员	pilote - pilote	पायलट - पायलट	pilota - pilota	パイロット - パイロット	piloto - piloto	пилот - пилот	piloto - piloto
kapitän - captain	船长-船长	capitaine - capitaine	कप्तान - कप्तान	capitano - capitano	キャプテン - キャプテン	capitão - capitão	капитан - капитан	capitán - capitán
matrose - sailor	水手 - 水手	marin - marin	नाविक - नाविक	marinaio - marinaio	船員 - 船員	marinheiro - marinheiro	моряк - моряк	marinero - marinero
richter - judge	法官-法官	juge - juge	न्यायाधीश - न्यायाधीश	giudice - giudice	裁判官 - 裁判官	juiz - juiz	судья - судья	juez - juez
anwalt - lawyer	律师 - 律师	avocat - avocat	वकील - वकील	avvocato - avvocato	弁護士 - 弁護士	advogado - advogado	адвокат - адвокат	abogado - abogado
politiker - politician	政治家 - 政治家	homme politique - homme politique	राजनीतिज्ञ - राजनीतिज्ञ	politico - politico	政治家 - 政治家	político - político	политик - политик	político - político
könig - king	国王-国王	roi - roi	राजा - राजा	re - re	王 - 王	rei - rei	король - король	rey - rey
königin - queen	皇后 - 皇后	reine - reine	रानी - रानी	regina - regina	女王 - 女王	rainha - rainha	королева - королева	reina - reina
prinz - prince	王子 - 王子	prince - prince	राजकुमार - राजकुमार	principe - principe	王子 - 王子	príncipe - príncipe	принц - принц	príncipe - príncipe
prinzessin - princess	公主 - 公主	princesse - princesse	राजकुमारी - राजकुमारी	principessa - principessa	プリンセス - プリンセス	princesa - princesa	принцесса - принцесса	princesa - princesa
präsident - president	总统 - 总统	président - président	राष्ट्रपति - राष्ट्रपति	presidente - presidente	社長 - 社長	presidente - presidente	президент - президент	presidente - presidente
minister - minister	部长 - 部长	ministre - ministre	मंत्री - मंत्री	ministro - ministro	大臣 - 大臣	ministro - ministro	министр - министр	ministro - ministro
beamter - civil servant	公务员 - 公务员	fonctionnaire - fonctionnaire	सिविल सेवक - सिविल सेवक	dipendente pubblico - dipendente pubblico	公務員 - 公務員	funcionário público - funcionário público	государственный служащий - государственный служащий	funcionario - funcionario
bürgermeister - mayor		maire - maire	महापौर - महापौर	sindaco - sindaco	市長 - 市長	prefeito - prefeito	мэр - мэр	alcalde - alcalde
kopf - head	头对头	tête - tête	सिर - सिर	testa - testa	頭 - 頭	cabeça - cabeça	голова - голова	cabeza - cabeza
haar - hair	头发 头发	cheveux - cheveux	बाल - बाल	capelli - capelli	髪 - 髪	cabelo - cabelo	волосы - волосы	pelo - pelo
gesicht - face	脸对脸	visage - visage	चेहरा	faccia - faccia	顔 - 顔	cara - cara	лицо - лицо	cara - cara
auge - eye	眼眼	oeil - oeil	आँख - आँख	occhio - occhio	目 - 目	olho - olho	глаз - глаз	ojo - ojo
ohr - ear	耳耳	oreille - oreille	कान - कान	orecchio - orecchio	耳 - 耳	orelha - orelha	ухо - ухо	oreja - oreja
nase - nose	鼻子 鼻子	nez - nez	नाक - नाक	naso - naso	鼻 - 鼻	nariz - nariz	нос - нос	nariz - nariz
mund - mouth	口口相传	bouche - bouche	मुँह - मुँह	bocca - bocca	口 - 口	boca - boca	рот - рот	boca - boca
lippe - lip	唇-唇	lèvre - lèvre	होंठ - होंठ	labbro - labbro	リップ - リップ	lábio - lábio	губа - губа	labio - labio
zahn - tooth	齿牙	dent - dent	दांत - दांत	dente - dente	歯 - 歯	dente - dente	зуб - зуб	diente - diente
zunge - tongue	舌头 - 舌头	langue - langue	जीभ - जीभ	lingua - lingua	舌 - 舌	língua - língua	язык - язык	lengua - lengua
hals - neck, throat	脖子——脖子，喉咙	cou - cou, gorge	गर्दन - गर्दन, गला	collo - collo, gola	首 - 首、喉	pescoço - pescoço, garganta	шея – шея, горло	cuello - cuello, garganta
schulter - shoulder	肩并肩	épaule - épaule	कंधा - कंधा	spalla - spalla	肩 - 肩	ombro - ombro	плечо - плечо	hombro - hombro
arm - arm	穷——穷	pauvre - pauvre	गरीब - गरीब	povero - povero	貧しい - 貧しい	pobre - pobre	бедный - бедный	pobre - pobre
ellbogen - elbow	肘-肘	coude - coude	कोहनी - कोहनी	gomito - gomito	肘 - 肘	cotovelo - cotovelo	локоть - локоть	codo - codo
hand - hand	手手	main - main	हाथ - हाथ	mano - mano	手 - 手	mão - mão	рука - рука	mano - mano
finger - finger	手指-手指	doigts - doigts	उँगलियाँ - उंगलियाँ	dita - dita	指 - 指	dedos - dedos	пальцы - пальцы	dedos - dedos
daumen - thumb	拇指-拇指	pouce - pouce	अंगूठा - अंगूठा	pollice - pollice	親指 - 親指	polegar - polegar	большой палец - большой палец	pulgar - pulgar
nagel - nail	钉子——钉子	clou - clou	कील - कील	chiodo - chiodo	ネイル - ネイル	prego - prego	гвоздь - гвоздь	clavo - clavo
brust - chest, breast	胸部——胸部，胸部	poitrine - poitrine, sein	छाती - छाती, स्तन	petto - petto, seno	胸 - 胸、胸	peito - peito, peito	грудь – грудь, грудь	pecho - pecho, pecho
rücken - back	后背	retour - retour	पीछे - पीछे	indietro - indietro	戻る - 戻る	de volta - de volta	назад - назад	atrás - atrás
bauch - belly, stomach	腹部——腹部，胃	abdomen - ventre, estomac	पेट - पेट, पेट	addome: pancia, stomaco	腹部 - お腹、お腹	abdômen - barriga, estômago	живот – живот, желудок	abdomen - vientre, estómago
taille - waist	腰-腰	taille - taille	कमर - कमर	vita - vita	ウエスト - ウエスト	cintura - cintura	талия - талия	cintura - cintura
hüfte - hip	臀部 - 臀部	hanche - hanche	हिप हिप	anca - anca	ヒップ - ヒップ	quadril - quadril	бедро - бедро	cadera - cadera
bein - leg	腿-腿	jambe - jambe	पैर - पैर	gamba - gamba	脚 - 脚	perna - perna	нога - нога	pierna - pierna
knie - knee	膝盖 - 膝盖	genou - genou	घुटना - घुटना	ginocchio - ginocchio	膝 - 膝	joelho - joelho	колено - колено	rodilla - rodilla
fuß - foot	足足	pied - pied	पैर - पैर	piede - piede	足 - 足	pé - pé	нога - нога	pie - pie
zehe - toe	脚趾 - 脚趾	orteil - orteil	पैर की अंगुली - पैर की अंगुली	punta - punta	つま先 - つま先	dedo do pé - dedo do pé	палец - палец	dedo del pie - dedo del pie
ferse - heel	脚跟 - 脚跟	talon - talon	एड़ी - एड़ी	tallone - tallone	かかと - かかと	calcanhar - calcanhar	пятка - пятка	tacón - tacón
haut - skin	皮肤-皮肤	peau - peau	त्वचा - त्वचा	pelle - pelle	肌 - 肌	pele - pele	кожа - кожа	piel - piel
knochen - bone	骨骨	os - os	हड्डी - हड्डी	osso - osso	骨 - 骨	osso - osso	кость - кость	hueso - hueso
blut - blood	血——血	du sang - du sang	खून - खून	sangue - sangue	血 - 血	sangue - sangue	кровь - кровь	sangre - sangre
herz - heart	心-心	coeur - coeur	दिल - दिल	cuore - cuore	心 - 心	coração - coração	сердце - сердце	corazón - corazón
lunge - lung	肺肺	poumon - poumon	फेफड़ा - फेफड़ा	polmone - polmone	肺 - 肺	pulmão - pulmão	легкое - легкое	pulmón - pulmón
magen - stomach		estomac - estomac	पेट - पेट	stomaco - stomaco	胃 - 胃	estômago - estômago	желудок - желудок	estómago - estómago
leber - liver	肝脏 - 肝脏	foie - foie	जिगर - जिगर	fegato - fegato	肝臓 - 肝臓	fígado - fígado	печень - печень	hígado - hígado
niere - kidney	肾 - 肾	rein - rein	गुर्दा - गुर्दा	rene - rene	腎臓 - 腎臓	rim - rim	почка - почка	riñón - riñón
gehirn - brain	脑脑	cerveau - cerveau	मस्तिष्क - मस्तिष्क	cervello - cervello	脳 - 脳	cérebro - cérebro	мозг - мозг	cerebro - cerebro
nerv - nerve	神经-神经	nerf - nerf	तंत्रिका - तंत्रिका	nervo - nervo	神経 - 神経	nervo - nervo	нерв - нерв	nervio - nervio
muskel - muscle	肌肉-肌肉	muscle - muscle	मांसपेशी - मांसपेशी	muscolo - muscolo	筋肉 - 筋肉	músculo - músculo	мышца - мышца	músculo - músculo
körper - body	身体-身体	corps - corps	शरीर - शरीर	corpo - corpo	体 - 体	corpo - corpo	тело - тело	cuerpo - cuerpo
gesundheit - health	健康-健康	santé - santé	स्वास्थ्य - स्वास्थ्य	salute - salute	健康 - 健康	saúde - saúde	здоровье - здоровье	salud - salud
krankheit - illness	疾病——疾病	maladie - maladie	बीमारी - बीमारी	malattia - malattia	病気 - 病気	doença - doença	болезнь - болезнь	enfermedad - enfermedad
schmerz - pain	痛痛	douleur - douleur	दर्द - दर्द	dolore - dolore	痛み - 痛み	dor - dor	боль - боль	dolor - dolor
fieber - fever	发烧-发烧	fièvre - fièvre	ज्वर - ज्वर	febbre - febbre	発熱 - 発熱	febre - febre	лихорадка - лихорадка	fiebre - fiebre
erkältung - cold	冷冷	froid - froid	ठंडा - ठंडा	freddo - freddo	寒い - 寒い	frio - frio	холодно - холодно	frío - frío
husten - cough	咳嗽-咳嗽	toux - toux	खांसी खांसी	tosse - tosse	咳 - 咳	tosse - tosse	кашель - кашель	tos - tos
schnupfen - runny nose	闻一闻流鼻涕	renifler - nez qui coule	सूँघना - नाक बहना	annusare - naso che cola	嗅ぐ - 鼻水	cheirar - coriza	нюхать - насморк	oler - secreción nasal
grippe - flu	流感-流感	grippe - grippe	फ्लू - फ्लू	influenza - influenza	インフルエンザ - インフルエンザ	gripe - gripe	грипп - грипп	gripe - gripe
kopfschmerzen - headache	头痛 - 头痛	mal de tête - mal de tête	सिरदर्द - सिरदर्द	mal di testa - mal di testa	頭痛 - 頭痛	dor de cabeça - dor de cabeça	головная боль - головная боль	dolor de cabeza - dolor de cabeza
bauchschmerzen - stomachache	胃痛-胃痛	mal de ventre - mal de ventre	पेटदर्द - पेटदर्द	mal di stomaco - mal di stomaco	腹痛 - 腹痛	dor de estômago - dor de estômago	боль в животе - боль в животе	dolor de estómago - dolor de estómago
zahnschmerzen - toothache	牙痛——牙痛	mal de dents - mal de dents	दाँत का दर्द - दाँत का दर्द	mal di denti - mal di denti	歯痛 - 歯痛	dor de dente - dor de dente	зубная боль - зубная боль	dolor de muelas - dolor de muelas
wunde - wound	伤口-伤口	blessure - blessure	घाव - घाव	ferita - ferita	傷 - 傷	ferida - ferida	рана - рана	herida - herida
verletzung - injury	受伤-受伤	blessure - blessure	चोट - चोट	infortunio - infortunio	怪我 - 怪我	lesão - lesão	травма - травма	lesión - lesión
unfall - accident	事故 - 事故	accident - accident	दुर्घटना - दुर्घटना	incidente - incidente	事故 - 事故	acidente - acidente	несчастный случай - несчастный случай	accidente - accidente
medikament - medicine	药物 - 医学	drogue - médecine	औषध - औषध	droga - medicina	薬 - 薬	droga - remédio	наркотик - лекарство	droga - medicina
tablette - pill	片剂-药丸	comprimé - pilule	गोली - गोली	compressa - pillola	錠剤 - 錠剤	comprimido - pílula	таблетка - таблетка	tableta - pastilla
arznei - medicine	医学 - 医学	médecine - médecine	दवा - दवा	medicina - medicina	薬 - 薬	remédio - remédio	медицина - лекарство	medicina - medicina
heilung - healing, cure	治愈——治愈，治愈	guérison - guérison, guérison	उपचार - उपचार, इलाज	guarigione - guarigione, cura	癒し - 癒し、治癒	cura - cura, cura	исцеление - исцеление, излечение	curación - curación, cura
behandlung - treatment	治疗-治疗	traitement - traitement	उपचार - उपचार	trattamento - trattamento	治療 - 治療	tratamento - tratamento	лечение - лечение	tratamiento - tratamiento
operation - operation	操作-操作	opération - opération	ऑपरेशन - ऑपरेशन	operazione - operazione	操作 - 操作	operação - operação	операция - операция	operación - operación
krankenhaus - hospital	医院 - 医院	hôpital - hôpital	अस्पताल - अस्पताल	ospedale - ospedale	病院 - 病院	hospital - hospital	больница - больница	hospital - hospital
klinik - clinic	诊所 - 诊所	clinique - clinique	क्लिनिक - क्लिनिक	clinica - clinica	クリニック - クリニック	clínica - clínica	клиника - клиника	clínica - clínica
praxis - practice	练习-练习	pratique - pratique	अभ्यास - अभ्यास	pratica - pratica	練習 - 練習	praticar - praticar	практика - практика	practica - practica
apotheke - pharmacy	药房 - 药房	pharmacie - pharmacie	फार्मेसी - फार्मेसी	farmacia - farmacia	薬局 - 薬局	farmácia - farmácia	аптека - аптека	farmacia - farmacia
kleidung - clothing	服装 - 服装	vêtements - vêtements	वस्त्र - वस्त्र	abbigliamento - abbigliamento	衣類 - 衣類	roupas - roupas	одежда - одежда	ropa - ropa
hemd - shirt	衬衫 - 衬衫	chemise - chemise	शर्ट - शर्ट	camicia - camicia	シャツ - シャツ	camisa - camisa	рубашка - рубашка	camisa - camisa
hose - pants	裤子 - 裤子	pantalon - pantalon	पैंट - पैंट	pantaloni - pantaloni	パンツ - パンツ	calças - calças	штаны - штаны	pantalones - pantalones
rock - skirt	裙子 - 裙子	jupe - jupe	स्कर्ट - स्कर्ट	gonna - gonna	スカート - スカート	saia - saia	юбка - юбка	falda - falda
kleid - dress	连衣裙 - 连衣裙	robe - robe	पोशाक - पोशाक	vestito - vestito	ドレス - ドレス	vestido - vestido	платье - платье	vestido - vestido
jacke - jacket	夹克 - 夹克	veste - veste	जैकेट - जैकेट	giacca - giacca	ジャケット - ジャケット	jaqueta - jaqueta	куртка - куртка	chaqueta - chaqueta
mantel - coat	外套-外套	manteau - manteau	कोट - कोट	cappotto - cappotto	コート - コート	casaco - casaco	пальто - пальто	abrigo - abrigo
pullover - sweater	毛衣 - 毛衣	pull - pull	स्वेटर - स्वेटर	maglione - maglione	セーター - セーター	suéter - suéter	свитер - свитер	suéter - suéter
schal - scarf	围巾-围巾	écharpe - écharpe	दुपट्टा - दुपट्टा	sciarpa - sciarpa	スカーフ - スカーフ	lenço - lenço	шарф - шарф	bufanda - bufanda
mütze - cap	帽帽	casquette - casquette	टोपी - टोपी	berretto - berretto	キャップ - キャップ	boné - boné	кепка - кепка	gorra - gorra
hut - hat	帽子 - 有	chapeau - a	टोपी - है	cappello - ha	帽子 - 持っています	chapéu - tem	шляпа - есть	sombrero - tiene
handschuh - glove	手套 - 手套	gant - gant	दस्ताना - दस्ताना	guanto - guanto	手袋 - 手袋	luva - luva	перчатка - перчатка	guante - guante
socke - sock	袜子-袜子	chaussette - chaussette	जुर्राब - जुर्राब	calzino - calzino	靴下 - 靴下	meia - meia	носок - носок	calcetín - calcetín
strumpf - stocking	放养 - 放养	bas - bas	मोजा - मोजा	calza - calza	ストッキング - ストッキング	meia - meia	чулок - чулок	media - media
schuh - shoe	鞋-鞋	chaussure - chaussure	जूता - जूता	scarpa - scarpa	靴 - 靴	sapato - sapato	туфля - туфелька	zapato - zapato
stiefel - boot	靴子-靴子	bottes - botte	जूते - बूट	stivali - avvio	ブーツ - ブーツ	botas - bota	сапоги - ботинок	botas - bota
sandale - sandal	凉鞋 - 凉鞋	sandale - sandale	चप्पल - चप्पल	sandalo - sandalo	サンダル - サンダル	sandália - sandália	сандалия - сандалия	sandalia - sandalia
anzug - suit	西装 - 西装	costume - costume	सूट - सूट	vestito - vestito	スーツ - スーツ	terno - terno	костюм - костюм	traje - traje
krawatte - tie	领带 领带	cravate - cravate	टाई - टाई	cravatta - cravatta	ネクタイ - ネクタイ	gravata - gravata	галстук - галстук	corbata - corbata
gürtel - belt	腰带-腰带	ceinture - ceinture	बेल्ट - बेल्ट	cintura - cintura	ベルト - ベルト	cinto - cinto	пояс - пояс	cinturón - cinturón
tasche - bag, pocket	包 - 包，口袋	sac - sac, poche	थैला - थैला, जेब	borsa - borsa, tasca	バッグ - バッグ、ポケット	bolsa - bolsa, bolso	сумка – сумка, карман	bolso - bolso, bolsillo
rucksack - backpack	背包 - 背包	sac à dos - sac à dos	बैकपैक - बैकपैक	zaino - zaino	バックパック - バックパック	mochila - mochila	рюкзак - рюкзак	mochila - mochila
koffer - suitcase	手提箱 - 手提箱	valise - valise	सूटकेस - सूटकेस	valigia - valigia	スーツケース - スーツケース	mala - mala	чемодан - чемодан	maleta - maleta
uhr - clock, watch	时钟——时钟，手表	horloge - horloge, montre	घड़ी - घड़ी, घड़ी	orologio - orologio, orologio	時計 - 時計、腕時計	relógio - relógio, relógio	часы - часы, часы	reloj - reloj, reloj
ring - ring	环环	bague - bague	अंगूठी अंगूठी	anello - anello	リング - リング	anel - anel	кольцо - кольцо	anillo - anillo
kette - necklace	链-项链	chaîne - collier	चेन - हार	catena - collana	チェーン - ネックレス	corrente - colar	цепочка - колье	cadena - collar
armband - bracelet	手镯 - 手镯	bracelet - bracelet	कंगन - कंगन	braccialetto - braccialetto	ブレスレット - ブレスレット	pulseira - pulseira	браслет - браслет	pulsera - pulsera
ohrring - earring	耳环 - 耳环	boucle d'oreille - boucle d'oreille	बाली - बाली	orecchino - orecchino	イヤリング - イヤリング	brinco - brinco	серьга - серьга	pendiente - pendiente
brille - glasses	眼镜 - 眼镜	lunettes - lunettes	चश्मा - चश्मा	occhiali - occhiali	メガネ - メガネ	óculos - óculos	очки - очки	gafas - gafas
schmuck - jewelry	珠宝 - 珠宝	bijoux - bijoux	आभूषण - आभूषण	gioielli - gioielli	ジュエリー - ジュエリー	jóias - jóias	ювелирные изделия - ювелирные изделия	joyería - joyería
farbe - color	颜色 - 颜色	couleur - couleur	रंग - रंग	colore - colore	色 - 色	cor - cor	цвет - цвет	color - color
weiß - white	白色 - 白色	blanc - blanc	सफ़ेद सफ़ेद	bianco - bianco	白 - 白	branco - branco	белый - белый	blanco - blanco
schwarz - black	黑 - 黑	noir - noir	काले काले	nero - nero	黒 - 黒	preto - preto	черный - черный	negro - negro
grau - gray	灰色 - 灰色	gris - gris	धूसर - धूसर	grigio - grigio	グレー - グレー	cinza - cinza	серый - серый	gris - gris
rot - red	红-红	rouge - rouge	लाल लाल	rosso - rosso	赤 - 赤	vermelho - vermelho	красный - красный	rojo - rojo
blau - blue	蓝色 - 蓝色	bleu - bleu	नीला - नीला	blu - blu	青 - 青	azul - azul	синий - синий	azul - azul
grün - green	绿 - 绿	vert - vert	हरा - हरा	verde - verde	緑 - 緑	verde - verde	зеленый - зеленый	verde - verde
gelb - yellow	黄色 - 黄色	jaune - jaune	पीला - पीला	giallo - giallo	黄色 - 黄色	amarelo - amarelo	желтый - желтый	amarillo - amarillo
orange - orange	橙色-橙色	orange - orange	नारंगी - नारंगी	arancione - arancione	オレンジ - オレンジ	laranja - laranja	оранжевый - оранжевый	naranja - naranja
rosa - pink	粉红色 - 粉红色	rose - rose	गुलाबी - गुलाबी	rosa - rosa	ピンク - ピンク	rosa - rosa	розовый - розовый	rosa - rosa
lila - purple	紫色 - 紫色	violet - violet	बैंगनी - बैंगनी	viola - viola	紫 - 紫	roxo - roxo	фиолетовый - фиолетовый	morado - morado
braun - brown	棕色 - 棕色	marron - marron	भूरा - भूरा	marrone - marrone	茶色 - 茶色	marrom - marrom	коричневый - коричневый	marrón - marrón
gold - gold	黄金 - 黄金	or - or	सोना - सोना	oro - oro	ゴールド - ゴールド	ouro - ouro	золото - золото	oro - oro
silber - silver	银 - 银	argent - argent	चाँदी - चाँदी	argento - argento	銀 - 銀	prata - prata	серебро - серебро	plata - plata
bronze - bronze	青铜 - 青铜	bronze - bronze	कांस्य - कांस्य		ブロンズ - ブロンズ	bronze - bronze	бронза - бронза	bronce - bronce
essen - food	吃-食物	manger - nourriture	खाना खा	mangiare - cibo	食べる - 食べ物	comer - comida	есть - еда	comer - comida
brot - bread	面包 - 面包	pain - pain	रोटी - रोटी	pane - pane	パン - パン	pão - pão	хлеб - хлеб	pan - pan
brötchen - roll	包子卷	chignon - rouler	बन - रोल	panino - rotolo	パンロール	pão - rolo	булочка - рулет	bollo - rollo
kuchen - cake	蛋糕 - 蛋糕	gâteau - gâteau	केक - केक	torta - torta	ケーキ - ケーキ	bolo - bolo	торт - торт	pastel - pastel
keks - cookie	饼干-饼干	biscuit - biscuit	बिस्किट - कुकी	biscotto - biscotto	ビスケット - クッキー	biscoito - biscoito	бисквит - печенье	galleta - galleta
torte - cake	蛋糕 - 蛋糕	gâteau - gâteau	केक - केक	torta - torta	ケーキ - ケーキ	bolo - bolo	торт - торт	pastel - pastel
reis - rice	米 - 米	riz - riz	चावल - चावल	riso - riso	米 - 米	arroz - arroz	рис - рис	arroz - arroz
nudel - noodle	面条-面条	nouille - nouille	नूडल - नूडल	tagliatella - tagliatella	麺 - 麺	macarrão - macarrão	лапша - лапша	fideos - fideos
kartoffel - potato	马铃薯 - 马铃薯	pomme de terre - pomme de terre	आलू - आलू	patata - patata	ジャガイモ - ジャガイモ	batata - batata	картошка - картошка	patata - patata
gemüse - vegetable	蔬菜 - 蔬菜	légumes - légume	सब्जियाँ - सब्जियाँ	verdure - verdure	野菜 - 野菜	vegetais - vegetais	овощи - овощ	verduras - verdura
salat - salad, lettuce	沙拉 - 沙拉、生菜	salade - salade, laitue	सलाद - सलाद, सलाद	insalata - insalata, lattuga	サラダ - サラダ、レタス	salada - salada, alface	салат - салат, салат	ensalada - ensalada, lechuga
tomate - tomato	番茄——番茄	tomate - tomate	टमाटर - टमाटर	pomodoro - pomodoro	トマト - トマト	tomate - tomate	помидор - помидор	tomate - tomate
gurke - cucumber	黄瓜——黄瓜	concombre - concombre	ककड़ी - ककड़ी	cetriolo - cetriolo	キュウリ - キュウリ	pepino - pepino	огурец - огурец	pepino - pepino
karotte - carrot	胡萝卜——胡萝卜	carotte - carotte	गाजर - गाजर	carota - carota	ニンジン - ニンジン	cenoura - cenoura	морковь - морковь	zanahoria - zanahoria
zwiebel - onion	洋葱——洋葱	oignon - oignon	प्याज - प्याज	cipolla - cipolla	タマネギ - タマネギ	cebola - cebola	лук - лук	cebolla - cebolla
knoblauch - garlic	大蒜 - 大蒜	ail - ail	लहसुन - लहसुन	aglio - aglio	ニンニク - ニンニク	alho - alho	чеснок - чеснок	ajo - ajo
pilz - mushroom	蘑菇-蘑菇	champignon - champignon	मशरूम - मशरूम	fungo - fungo	キノコ - キノコ	cogumelo - cogumelo	гриб - гриб	seta - seta
bohne - bean	豆豆	haricot - haricot	बीन - बीन	fagiolo - fagiolo	豆 - 豆	feijão - feijão	фасоль - фасоль	frijol - frijol
erbse - pea	豌豆 - 豌豆	pois - pois	मटर - मटर	pisello - pisello	エンドウ豆 - エンドウ豆	ervilha - ervilha	горох - горох	guisante - guisante
mais - corn	玉米 - 玉米	maïs - maïs	मक्का - मक्का	mais - mais	トウモロコシ - トウモロコシ	milho - milho	кукуруза - кукуруза	maíz - maíz
obst - fruit	水果-水果	fruit - fruit	फल - फल	frutto - frutto	果物 - 果物	fruta - fruta	фрукты - фрукты	fruta - fruta
apfel - apple	苹果 - 苹果	pomme - pomme	सेब - सेब	mela - mela	リンゴ - リンゴ	maçã - maçã	яблоко - яблоко	manzana - manzana
birne - pear	梨子——梨子	poire - poire	नाशपाती - नाशपाती	pera - pera	梨 - 梨	pêra - pêra	груша - груша	pera - pera
orange - orange (fruit)	橙子——橙子（水果）	orange - orange (fruit)	नारंगी - नारंगी (फल)	arancia - arancia (frutta)	オレンジ - オレンジ（果物）	laranja - laranja (fruta)	апельсин – апельсин (фрукты)	naranja - naranja (fruta)
zitrone - lemon	柠檬-柠檬	citron - citron	नींबू - नींबू	limone - limone	レモン - レモン	limão - limão	лимон - лимон	limón - limón
banane - banana	香蕉 - 香蕉	banane - banane	केला - केला	banana - banana	バナナ - バナナ	banana - banana	банан - банан	plátano - plátano
traube - grape	葡萄 - 葡萄	raisin - raisin	अंगूर - अंगूर	uva - uva	ブドウ - ブドウ	uva - uva	виноград - виноград	uva - uva
